system,stage,configuration,seed,epochs,best_epoch,final_epoch,best_validation_u_ctrl,final_validation_u_ctrl,best_validation_safety,best_checkpoint,entropy_schedule,baseline,advantage_normalization,credit,learning_rate,max_potential_telescope_error,gradient_reached_policy,initial_policy_entropy,quarter_policy_entropy,final_policy_entropy,initial_entropy_t1,initial_entropy_t2,initial_entropy_t3,final_entropy_t1,final_entropy_t2,final_entropy_t3,mean_gradient_norm,max_gradient_norm,total_clipping_events,mean_advantage_mean,mean_advantage_std,mean_terminal_cost_unique_count,mean_terminal_cost_modal_fraction,mean_terminal_cost_tied_fraction
ieee5,learning_rate,LR0_current,101,500,55,499,0.8250000000000001,0.9,1.0,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/learning_rate/LR0_current/seed_101/best_checkpoint.pt,current,batch,False,potential,0.001,0.0,True,3.3652265071868896,3.310598850250244,1.9273139238357544,3.4001142978668213,3.3653132915496826,3.330252170562744,3.3964314460754395,0.7557240724563599,1.6297862529754639,0.1260400190859634,1.2715197801589966,1,-2.3525447042706296e-10,0.10449236025325169,3.741142857142857,0.44921428571428573,0.7693571428571429
ieee5,learning_rate,LR0_current,202,500,0,499,0.8583333333333334,0.8666666666666668,1.0,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/learning_rate/LR0_current/seed_202/best_checkpoint.pt,current,batch,False,potential,0.001,0.0,True,3.3649518489837646,3.341285467147827,1.7880160808563232,3.399942636489868,3.3649773597717285,3.32993745803833,3.396637439727783,0.5872768759727478,1.380134105682373,0.1206936005755727,0.8039917945861816,0,-2.613912026752865e-10,0.10598571097315221,3.723142857142857,0.44996428571428565,0.7737857142857142
ieee5,learning_rate,LR0_current,303,500,365,499,0.8250000000000001,0.8750000000000001,1.0,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/learning_rate/LR0_current/seed_303/best_checkpoint.pt,current,batch,False,potential,0.001,0.0,True,3.3649919033050537,3.3449597358703613,2.6542491912841797,3.3998336791992188,3.365117311477661,3.3300247192382812,3.3960506916046143,1.7927606105804443,2.7739360332489014,0.1283194318230131,0.7142671942710876,0,-2.2602482492637498e-10,0.10415126045052056,3.7120000000000006,0.4522857142857143,0.7722142857142856
ieee5,learning_rate,LR0_current,404,500,435,499,0.8500000000000001,0.8583333333333334,1.0,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/learning_rate/LR0_current/seed_404/best_checkpoint.pt,current,batch,False,potential,0.001,0.0,True,3.364846706390381,3.2459123134613037,1.8693161010742188,3.399854898452759,3.3648734092712402,3.3298115730285645,3.395794153213501,0.9315924048423767,1.2805613279342651,0.12889495411974247,0.8876248598098755,0,-2.2056822983002614e-10,0.10499535811535768,3.7442857142857147,0.4476428571428572,0.7684642857142857
ieee5,learning_rate,LR0_current,505,500,35,499,0.8333333333333334,0.8833333333333334,1.0,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/learning_rate/LR0_current/seed_505/best_checkpoint.pt,current,batch,False,potential,0.001,0.0,True,3.3649919033050537,3.3264081478118896,2.0834569931030273,3.4000585079193115,3.364997386932373,3.3299200534820557,3.3969357013702393,1.1048575639724731,1.7485777139663696,0.1433128171443407,1.536623239517212,3,-2.2740986874497087e-10,0.10429951292464783,3.712,0.45321428571428574,0.7691785714285716
ieee5,learning_rate,LR1_div3,101,500,90,499,0.8583333333333334,0.8833333333333333,1.0,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/learning_rate/LR1_div3/seed_101/best_checkpoint.pt,current,batch,False,potential,0.0003333333333333333,0.0,True,3.365394115447998,3.2923357486724854,2.5881707668304443,3.4000957012176514,3.3655779361724854,3.330510139465332,3.3997063636779785,1.7172207832336426,2.647585391998291,0.15785892811390972,0.8780204653739929,0,-2.2832925127501366e-10,0.10502062880711636,3.740857142857143,0.4498214285714286,0.7693571428571429
ieee5,learning_rate,LR1_div3,202,500,0,499,0.8583333333333334,0.8916666666666666,1.0,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/learning_rate/LR1_div3/seed_202/best_checkpoint.pt,current,batch,False,potential,0.0003333333333333333,0.0,True,3.3650755882263184,3.302896738052368,2.4343111515045166,3.399916410446167,3.3651797771453857,3.3301303386688232,3.3994293212890625,1.835024118423462,2.0684800148010254,0.14664160498138518,0.8148694038391113,0,-2.5489582472504323e-10,0.10523077384062486,3.708,0.45235714285714285,0.7757857142857142
ieee5,learning_rate,LR1_div3,303,500,480,499,0.8666666666666668,0.8666666666666668,1.0,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/learning_rate/LR1_div3/seed_303/best_checkpoint.pt,current,batch,False,potential,0.0003333333333333333,0.0,True,3.3649492263793945,3.327805757522583,2.9548516273498535,3.399811029434204,3.3650598526000977,3.329976797103882,3.399505376815796,2.646145820617676,2.8189034461975098,0.14184444823565096,0.623331606388092,0,-2.0984608018360263e-10,0.1044192500097864,3.696,0.4551785714285714,0.7730714285714286
ieee5,learning_rate,LR1_div3,404,500,0,499,0.8500000000000001,0.8583333333333334,1.0,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/learning_rate/LR1_div3/seed_404/best_checkpoint.pt,current,batch,False,potential,0.0003333333333333333,0.0,True,3.364785671234131,3.3235676288604736,2.563333034515381,3.3998239040374756,3.3647990226745605,3.329733371734619,3.399164915084839,1.9919517040252686,2.298882007598877,0.14692403633569898,0.7851088047027588,0,-2.424543103277964e-10,0.1050849712471065,3.7457142857142864,0.4477857142857143,0.7677142857142857
ieee5,learning_rate,LR1_div3,505,500,35,499,0.8333333333333334,0.8666666666666667,1.0,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/learning_rate/LR1_div3/seed_505/best_checkpoint.pt,current,batch,False,potential,0.0003333333333333333,0.0,True,3.3651788234710693,3.3383381366729736,2.5190799236297607,3.4000461101531982,3.365288019180298,3.3302018642425537,3.3997273445129395,2.057448387145996,2.100062847137451,0.1397452559157807,0.6504172682762146,0,-2.1621011777698632e-10,0.10415465390177615,3.722,0.45417857142857143,0.7651071428571429
